Country,TotalRevenue,UniqueCustomers,Orders,RevenueShare
United Kingdom,14389234.9,5350,33541,82.82
EIRE,616570.54,5,567,3.55
Netherlands,554038.09,22,228,3.19
Germany,425019.71,107,789,2.45
France,348768.96,95,614,2.01
Australia,169283.46,15,95,0.97
Spain,108332.49,41,154,0.62
Switzerland,100061.94,22,90,0.58
Sweden,91515.81999999999,19,104,0.53
Denmark,68580.69,12,43,0.39
Belgium,65387.82,29,149,0.38
Norway,56322.5,13,45,0.32
Portugal,55554.78,24,93,0.32
Channel Islands,44623.33,13,55,0.26
Japan,43023.91,10,33,0.25
Italy,32108.17,17,65,0.18
Finland,29925.54,14,57,0.17
Singapore,25317.06,1,11,0.15
Cyprus,24849.95,11,37,0.14
Austria,23613.01,13,45,0.14
Greece,19096.19,5,18,0.11
Poland,10654.289999999999,6,28,0.06
Israel,10415.24,4,7,0.06
United Arab Emirates,9202.69,4,11,0.05
Unspecified,8607.35,6,16,0.05
USA,8366.86,9,20,0.05
Malta,8099.09,2,9,0.05
Iceland,4921.53,1,8,0.03
Lithuania,4892.68,1,6,0.03
Canada,4883.04,5,8,0.03
Thailand,3070.54,1,2,0.02
RSA,1933.74,2,2,0.01
Lebanon,1693.88,1,1,0.01
Brazil,1411.8700000000001,2,2,0.01
Bahrain,1354.37,2,4,0.01
European Community,1300.25,1,4,0.01
Korea,1118.51,2,2,0.01
Czech Republic,826.74,1,2,0.0
West Indies,536.41,1,1,0.0
Saudi Arabia,145.92,1,1,0.0
Nigeria,140.39,1,2,0.0
