CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,KMeans_Cluster,DBSCAN_Cluster,Agglomerative_Cluster,GMM_Cluster,Final_Segment
17777,25,3,647.56,4,3,3,433,Loyal Customers,3,0,2,4,New Active
16719,15,14,3513.62,5,5,5,555,Champions,2,0,0,0,Loyal Customers
12546,47,2,1161.5,4,2,3,423,Promising / New,3,0,2,4,New Active
17484,576,2,209.57,1,3,1,131,At Risk,4,0,4,2,Hibernating Low-Value
17207,652,1,292.62,1,2,2,122,Lost / Inactive,4,1,4,1,Hibernating Low-Value
17733,39,2,692.19,4,3,3,433,Loyal Customers,3,0,2,4,New Active
14713,9,21,5115.76,5,5,5,555,Champions,0,0,0,0,VIP Champions
13976,207,4,1192.36,2,3,3,233,At Risk,1,0,3,2,At-Risk Churn
18163,584,1,728.84,1,2,3,123,Lost / Inactive,4,1,4,1,Hibernating Low-Value
14570,281,3,613.75,2,3,3,233,At Risk,1,0,3,2,At-Risk Churn
14198,18,9,1569.73,5,5,4,554,Champions,2,0,2,0,Loyal Customers
17767,15,2,413.05,5,3,2,532,Loyal Customers,3,0,1,4,New Active
15693,659,1,37.5,1,1,1,111,Lost / Inactive,4,1,4,1,Hibernating Low-Value
18104,37,1,754.64,4,2,3,423,Promising / New,3,1,2,1,New Active
15317,677,1,129.75,1,1,1,111,Lost / Inactive,4,1,4,1,Hibernating Low-Value
15909,174,1,191.94,3,1,1,311,Needs Attention,4,1,4,1,Hibernating Low-Value
14015,53,1,917.34,4,1,3,413,Promising / New,3,1,1,1,New Active
15673,88,9,6204.32,3,5,5,355,Loyal Customers,2,0,0,0,Loyal Customers
16468,74,3,787.52,3,3,3,333,Loyal Customers,3,0,2,4,New Active
17292,472,2,271.75,1,3,1,131,At Risk,4,0,3,2,Hibernating Low-Value
15064,410,4,1254.41,2,3,4,234,At Risk,1,0,3,2,At-Risk Churn
15016,173,5,620.89,3,4,3,343,Loyal Customers,1,0,3,2,At-Risk Churn
18213,237,1,232.48,2,2,1,221,Lost / Inactive,4,1,4,1,Hibernating Low-Value
12756,87,1,112.08,3,1,1,311,Needs Attention,4,1,1,1,Hibernating Low-Value
14682,188,6,1514.81,3,4,4,344,Loyal Customers,1,0,3,0,At-Risk Churn
14504,47,4,673.26,4,3,3,433,Loyal Customers,3,0,2,4,New Active
14699,214,4,702.6,2,3,3,233,At Risk,1,0,3,2,At-Risk Churn
13614,24,6,2332.74,4,4,4,444,Champions,2,0,2,0,Loyal Customers
14460,110,9,1093.5,3,5,3,353,Loyal Customers,2,0,3,0,Loyal Customers
13351,66,1,373.94,3,1,2,312,Needs Attention,3,1,1,1,New Active
13396,29,2,1360.99,4,2,4,424,Promising / New,3,0,2,4,New Active
12568,645,1,70.0,1,1,1,111,Lost / Inactive,4,1,4,1,Hibernating Low-Value
12369,413,3,1791.15,1,3,4,134,At Risk,1,0,3,2,At-Risk Churn
15425,400,4,1941.12,2,3,4,234,At Risk,1,0,3,2,At-Risk Churn
13832,19,2,609.89,5,2,3,523,Promising / New,3,0,2,4,New Active
17168,499,1,400.2,1,2,2,122,Lost / Inactive,4,1,4,1,Hibernating Low-Value
16702,415,4,1110.83,1,4,3,143,At Risk,1,0,3,2,At-Risk Churn
17342,380,4,1227.54,2,4,4,244,At Risk,1,0,3,2,At-Risk Churn
15083,257,1,88.2,2,1,1,211,Lost / Inactive,4,1,4,1,Hibernating Low-Value
16851,4,3,342.45,5,3,2,532,Loyal Customers,3,0,1,4,New Active
15038,59,9,1146.53,4,5,3,453,Champions,2,0,2,0,Loyal Customers
14584,169,8,1738.16,3,4,4,344,Loyal Customers,1,0,3,0,At-Risk Churn
17459,43,2,657.3,4,3,3,433,Loyal Customers,3,0,2,4,New Active
13003,106,3,149.05,3,3,1,331,Loyal Customers,4,0,1,4,Hibernating Low-Value
17676,4,10,2448.64,5,5,4,554,Champions,2,0,2,0,Loyal Customers
14373,358,1,76.55,2,1,1,211,Lost / Inactive,4,1,4,1,Hibernating Low-Value
13228,81,1,358.0,3,1,2,312,Needs Attention,4,1,1,1,Hibernating Low-Value
15448,313,2,788.81,2,2,3,223,Lost / Inactive,1,0,3,2,At-Risk Churn
17554,1,5,1952.45,5,4,4,544,Champions,2,0,2,0,Loyal Customers
13576,10,28,11202.59,5,5,5,555,Champions,0,0,0,0,VIP Champions
17166,39,2,206.34,4,3,1,431,Loyal Customers,3,0,1,4,New Active
17851,422,6,1552.35,1,4,4,144,At Risk,1,0,3,2,At-Risk Churn
14950,19,1,371.2,5,1,2,512,Promising / New,3,1,1,1,New Active
17143,417,2,880.97,1,3,3,133,At Risk,1,0,3,2,At-Risk Churn
16677,411,2,880.62,1,2,3,123,Lost / Inactive,1,0,3,2,At-Risk Churn
13784,10,14,2910.23,5,5,5,555,Champions,2,0,0,0,Loyal Customers
14064,29,15,3260.24,4,5,5,455,Champions,2,0,0,0,Loyal Customers
17588,100,7,2939.55,3,4,5,345,Loyal Customers,2,0,2,0,Loyal Customers
16199,392,7,942.75,2,4,3,243,At Risk,1,0,3,2,At-Risk Churn
15003,473,6,1027.03,1,4,3,143,At Risk,1,0,3,2,At-Risk Churn
16908,722,1,252.59,1,2,1,121,Lost / Inactive,4,1,4,1,Hibernating Low-Value
15170,407,1,81.15,2,1,1,211,Lost / Inactive,4,1,4,1,Hibernating Low-Value
13404,1,2,252.49,5,2,1,521,Promising / New,3,0,1,4,New Active
12854,79,7,2970.97,3,4,5,345,Loyal Customers,2,0,0,0,Loyal Customers
14140,4,2,935.05,5,2,3,523,Promising / New,3,0,2,4,New Active
14899,395,1,1331.38,2,1,4,214,Lost / Inactive,1,1,3,1,At-Risk Churn
14472,104,9,2118.72,3,5,4,354,Loyal Customers,2,0,2,0,Loyal Customers
15117,15,8,2485.97,5,4,4,544,Champions,2,0,2,0,Loyal Customers
16081,56,8,4278.96,4,5,5,455,Champions,2,0,0,0,Loyal Customers
17093,593,1,235.88,1,2,1,121,Lost / Inactive,4,1,4,1,Hibernating Low-Value
14623,32,10,2016.98,4,5,4,454,Champions,2,0,2,0,Loyal Customers
15094,463,2,83.0,1,2,1,121,Lost / Inactive,4,0,4,2,Hibernating Low-Value
16168,11,66,10360.67,5,5,5,555,Champions,0,0,0,3,VIP Champions
16093,107,1,17.0,3,1,1,311,Needs Attention,4,-1,1,1,Hibernating Low-Value
16335,552,7,2753.52,1,4,4,144,At Risk,1,0,3,0,At-Risk Churn
16191,3,24,15677.82,5,5,5,555,Champions,0,0,0,0,VIP Champions
16563,54,6,4412.56,4,4,5,445,Champions,2,0,0,0,Loyal Customers
17185,592,3,229.46,1,3,1,131,At Risk,4,0,4,2,Hibernating Low-Value
15985,123,7,2715.28,3,4,4,344,Loyal Customers,2,0,2,0,Loyal Customers
13134,86,6,2475.23,3,4,4,344,Loyal Customers,2,0,2,0,Loyal Customers
14008,432,1,509.04,1,1,2,112,Lost / Inactive,4,1,4,1,Hibernating Low-Value
15181,66,5,1200.2,3,4,3,343,Loyal Customers,1,0,2,0,At-Risk Churn
13698,597,2,451.73,1,2,2,122,Lost / Inactive,4,0,3,2,Hibernating Low-Value
16835,128,6,1456.66,3,4,4,344,Loyal Customers,1,0,3,0,At-Risk Churn
14836,10,3,102.45,5,3,1,531,Loyal Customers,3,0,1,4,New Active
15777,241,7,1762.61,2,4,4,244,At Risk,1,0,3,0,At-Risk Churn
14261,51,2,1163.45,4,2,3,423,Promising / New,3,0,2,4,New Active
13158,95,5,1508.18,3,4,4,344,Loyal Customers,1,0,2,0,At-Risk Churn
13733,411,2,487.03,1,2,2,122,Lost / Inactive,4,0,3,2,Hibernating Low-Value
15211,60,2,894.41,3,2,3,323,Needs Attention,3,0,2,4,New Active
14149,221,1,446.62,2,1,2,212,Lost / Inactive,4,1,4,1,Hibernating Low-Value
17070,114,2,437.42,3,3,2,332,Loyal Customers,1,0,1,4,At-Risk Churn
13529,79,2,307.76,3,2,2,322,Needs Attention,3,0,1,4,New Active
13163,610,1,17.65,1,1,1,111,Lost / Inactive,4,1,4,1,Hibernating Low-Value
16833,1,6,2409.04,5,4,4,544,Champions,2,0,2,0,Loyal Customers
15226,311,1,154.41,2,1,1,211,Lost / Inactive,4,1,4,1,Hibernating Low-Value
12426,195,2,1345.21,2,2,4,224,Lost / Inactive,1,0,3,4,At-Risk Churn
13469,653,1,82.4,1,1,1,111,Lost / Inactive,4,1,4,1,Hibernating Low-Value
17269,386,1,491.81,2,2,2,222,Lost / Inactive,4,1,4,1,Hibernating Low-Value
14156,10,156,313437.62,5,5,5,555,Champions,0,-1,0,3,VIP Champions
17813,14,5,1698.07,5,4,4,544,Champions,2,0,2,0,Loyal Customers
16950,57,10,3541.77,4,5,5,455,Champions,2,0,0,0,Loyal Customers
12580,247,2,1052.9,2,2,3,223,Lost / Inactive,1,0,3,2,At-Risk Churn
15986,30,2,354.42,4,2,2,422,Promising / New,3,0,1,4,New Active
15269,24,3,1225.36,4,3,4,434,Loyal Customers,3,0,2,4,New Active
16730,52,3,743.11,4,3,3,433,Loyal Customers,3,0,2,4,New Active
17748,527,1,358.15,1,2,2,122,Lost / Inactive,4,1,4,1,Hibernating Low-Value
14170,375,3,570.18,2,3,2,232,At Risk,1,0,3,2,At-Risk Churn
16311,18,2,616.26,5,2,3,523,Promising / New,3,0,2,4,New Active
