Date,Revenue,Orders,Units
2009-12-01,43894.87,98,24335
2009-12-02,52762.06,110,29679
2009-12-03,67413.62,122,48009
2009-12-04,33913.81,80,19954
2009-12-05,9803.05,30,5119
2009-12-06,24390.1,72,11502
2009-12-07,33002.49,94,15557
2009-12-08,44763.34,102,22241
2009-12-09,30763.170000000002,77,15881
2009-12-10,38598.21,87,22534
2009-12-11,39204.17,65,21212
2009-12-13,21577.35,69,12205
2009-12-14,51245.16,80,40815
2009-12-15,46836.63,94,26401
2009-12-16,36927.3,90,22044
2009-12-17,29758.87,84,15031
2009-12-18,31562.72,61,15225
2009-12-20,11355.19,32,6236
2009-12-21,15549.64,31,8446
2009-12-22,10696.59,21,11913
2009-12-23,9485.67,13,4321
2010-01-04,13415.09,26,10593
2010-01-05,19051.19,33,11288
2010-01-06,8731.26,13,7458
2010-01-07,72989.38,45,40592
2010-01-08,30292.7,44,12694
2010-01-10,23157.33,31,13291
2010-01-11,19684.49,43,9414
2010-01-12,38833.58,36,20782
2010-01-13,12391.1,25,6541
2010-01-14,23721.64,55,11788
2010-01-15,13499.55,44,8414
2010-01-17,17363.25,39,9910
2010-01-18,12078.84,35,8319
2010-01-19,21892.79,45,12939
2010-01-20,13244.34,35,8208
2010-01-21,27359.23,48,72900
2010-01-22,29345.83,42,16974
2010-01-24,15552.32,49,8700
2010-01-25,18346.54,45,9104
2010-01-26,38570.37,81,22305
2010-01-27,23722.72,51,16985
2010-01-28,18914.829999999998,53,10855
2010-01-29,25382.44,45,9471
2010-01-31,18261.86,48,10557
2010-02-01,16606.93,56,8581
2010-02-02,19532.03,41,10543
2010-02-03,17230.06,44,9369
2010-02-04,22486.01,62,12794
2010-02-05,19420.74,38,9889
2010-02-07,17023.92,29,11179
2010-02-08,13016.04,49,7043
2010-02-09,18398.26,51,10629
2010-02-10,6082.34,27,3066
2010-02-11,15061.87,54,9027
2010-02-12,9728.96,28,7324
2010-02-14,17772.19,45,10892
2010-02-15,42318.21,43,96358
2010-02-16,25669.01,58,15744
2010-02-17,26455.22,46,24986
2010-02-18,35737.24,62,19851
2010-02-19,18931.99,34,10862
2010-02-21,11394.73,37,5555
2010-02-22,26336.24,46,13423
2010-02-23,20840.01,44,11574
2010-02-24,30392.66,59,21941
2010-02-25,44604.16,66,26014
2010-02-26,12778.64,32,6798
2010-02-28,16741.49,53,8419
2010-03-01,23933.87,57,21188
2010-03-02,21667.8,52,11019
2010-03-03,31849.7,60,20031
2010-03-04,29966.35,73,18044
2010-03-05,25361.64,59,17947
2010-03-07,19034.6,50,10876
2010-03-08,26605.58,69,13876
2010-03-09,19665.69,53,11984
2010-03-10,22905.79,56,17302
2010-03-11,21537.09,46,13706
2010-03-12,19123.05,35,10586
2010-03-14,8947.9,24,4927
2010-03-15,20536.68,49,13990
2010-03-16,21048.78,43,12256
2010-03-17,29543.78,44,78565
2010-03-18,37570.75,81,20574
2010-03-19,35274.3,52,12780
2010-03-21,20485.48,55,12262
2010-03-22,21494.16,52,12051
2010-03-23,41826.29,65,54157
2010-03-24,25970.5,66,13663
2010-03-25,30503.38,75,16603
2010-03-26,29867.35,56,20215
2010-03-28,22402.0,59,14517
2010-03-29,31740.38,58,18251
2010-03-30,33524.51,68,18224
2010-03-31,24591.07,67,12506
2010-04-01,28646.66,74,16895
2010-04-06,17900.83,53,12715
2010-04-07,32146.75,59,22970
2010-04-08,39866.6,81,25830
2010-04-09,14668.53,35,8676
2010-04-11,19732.05,42,11585
2010-04-12,25912.47,44,12188
2010-04-13,25736.04,49,14373
2010-04-14,27054.25,43,16322
2010-04-15,19538.34,64,10700
2010-04-16,19363.82,38,14781
2010-04-18,23934.46,54,12961
2010-04-19,24561.04,61,14564
2010-04-20,21202.35,62,12416
2010-04-21,25873.86,60,11566
2010-04-22,35741.2,77,21229
2010-04-23,14969.64,52,9829
2010-04-25,16574.53,46,8380
2010-04-26,29734.03,73,17979
2010-04-27,43534.06,74,22759
2010-04-28,31181.87,70,19058
2010-04-29,29575.67,76,16370
2010-04-30,24532.95,42,16441
2010-05-02,12342.17,40,6296
2010-05-04,18945.33,48,10501
2010-05-05,23625.22,66,14814
2010-05-06,51704.13,76,30422
2010-05-07,31976.09,63,22834
2010-05-09,22852.06,62,11825
2010-05-10,26496.43,70,14734
2010-05-11,25201.04,62,17134
2010-05-12,29744.74,64,21360
2010-05-13,38966.0,64,26351
2010-05-14,16895.24,40,13848
2010-05-16,18370.09,44,11028
2010-05-17,23290.76,46,13483
2010-05-18,26164.579999999998,60,21947
2010-05-19,16575.5,58,9421
2010-05-20,25331.44,66,15470
2010-05-21,22494.36,44,9052
2010-05-23,24824.93,48,13755
2010-05-24,33536.19,67,32351
2010-05-25,20415.92,57,14606
2010-05-26,29586.64,69,18023
2010-05-27,29221.67,83,17496
2010-05-28,18569.88,49,12005
2010-05-30,10702.97,31,6204
2010-06-01,13093.789999999999,36,7769
2010-06-02,13714.76,42,11289
2010-06-03,26644.63,62,16947
2010-06-04,11447.73,34,6389
2010-06-06,25457.15,68,14079
2010-06-07,45523.11,99,28736
2010-06-08,48215.48,74,25001
2010-06-09,36508.94,63,24843
2010-06-10,18009.12,62,9677
2010-06-11,30835.29,74,20517
2010-06-13,21147.77,69,10942
2010-06-14,21317.37,51,15586
2010-06-15,26937.46,46,18633
2010-06-16,29229.94,77,18495
2010-06-17,22635.35,69,12892
2010-06-18,17788.69,47,9315
2010-06-20,9078.58,26,4487
2010-06-21,18116.21,43,11305
2010-06-22,12414.03,41,6355
2010-06-23,25098.239999999998,61,15489
2010-06-24,17217.85,47,9410
2010-06-25,12371.59,40,6502
2010-06-27,18706.92,55,10851
2010-06-28,51132.78,68,33808
2010-06-29,32236.92,68,20301
2010-06-30,31491.43,75,20254
2010-07-01,28830.02,81,16217
2010-07-02,16726.13,44,8599
2010-07-04,10376.29,21,5302
2010-07-05,30963.57,81,16155
2010-07-06,19917.28,54,11148
2010-07-07,24902.95,60,13410
2010-07-08,19973.45,65,11697
2010-07-09,33408.64,25,13024
2010-07-11,7609.23,26,5711
2010-07-12,16101.17,47,8861
2010-07-13,17419.12,49,8822
2010-07-14,19418.63,52,12055
2010-07-15,55836.909999999996,78,27673
2010-07-16,21137.76,62,14039
2010-07-18,14581.99,39,9382
2010-07-19,28611.56,56,18120
2010-07-20,23124.39,54,11707
2010-07-21,19142.73,46,12555
2010-07-22,21620.39,61,13161
2010-07-23,23886.33,38,12828
2010-07-25,17230.6,54,11531
2010-07-26,20232.85,52,14216
2010-07-27,28265.86,64,14179
2010-07-28,23252.72,63,13351
2010-07-29,32801.91,65,12799
2010-07-30,14363.69,44,8090
2010-08-01,30637.95,32,9702
2010-08-02,26124.16,57,11762
2010-08-03,22362.79,50,15479
2010-08-04,17555.5,49,10923
2010-08-05,23145.06,51,16453
2010-08-06,14728.15,34,9731
2010-08-08,13950.71,43,8116
2010-08-09,31336.59,49,100084
2010-08-10,28209.739999999998,39,18426
2010-08-11,18629.86,39,7532
2010-08-12,26031.28,71,17702
2010-08-13,15150.14,40,12562
2010-08-15,20484.46,56,16575
2010-08-16,14270.74,34,10076
2010-08-17,28802.52,44,18060
2010-08-18,35122.52,55,22420
2010-08-19,30663.35,67,22152
2010-08-20,23250.77,56,18521
2010-08-22,22677.01,60,13884
2010-08-23,20655.35,44,12896
2010-08-24,26577.16,60,18872
2010-08-25,30466.76,69,17238
2010-08-26,31964.34,70,16961
2010-08-27,12166.64,31,6611
2010-08-29,14449.3,39,8766
2010-08-31,22811.75,54,11038
2010-09-01,20351.36,37,11835
2010-09-02,33430.57,87,21102
2010-09-03,34739.16,54,30598
2010-09-05,12286.71,35,7222
2010-09-06,23717.79,49,14951
2010-09-07,24397.45,49,14936
2010-09-08,16175.22,48,9924
2010-09-09,23526.38,63,12862
2010-09-10,15988.35,43,9905
2010-09-12,15528.75,48,9278
2010-09-13,32892.16,66,27446
2010-09-14,19705.02,62,11071
2010-09-15,33812.4,65,21295
2010-09-16,27099.27,65,14409
2010-09-17,19486.54,45,11401
2010-09-19,22783.53,57,13649
2010-09-20,38563.96,72,24263
2010-09-21,54698.89,100,35197
2010-09-22,27208.8,70,14065
2010-09-23,34305.1,81,20697
2010-09-24,47106.39,55,27622
2010-09-26,21703.9,63,13359
2010-09-27,115172.24,90,124721
2010-09-28,40015.409999999996,109,22204
2010-09-29,36740.03,95,20250
2010-09-30,37578.57,81,22891
2010-10-01,34550.89,64,21567
2010-10-03,38335.52,75,20272
2010-10-04,34956.56,76,22556
2010-10-05,55108.909999999996,116,34051
2010-10-06,30355.01,59,21523
2010-10-07,47610.92,112,28267
2010-10-08,51836.73,65,39626
2010-10-10,23139.31,67,12412
2010-10-11,39962.9,85,23986
2010-10-12,46566.35,104,28703
2010-10-13,51564.7,81,39725
2010-10-14,86945.13,96,37066
2010-10-15,42398.82,95,20610
2010-10-17,31176.14,70,18342
2010-10-18,36591.44,97,18509
2010-10-19,46577.64,73,26330
2010-10-20,43387.26,103,23589
2010-10-21,32847.8,89,15231
2010-10-22,32843.94,77,21524
2010-10-24,28634.59,82,15444
2010-10-25,27945.06,69,14106
2010-10-26,42545.95,98,25020
2010-10-27,30480.55,70,15563
2010-10-28,30701.3,57,13564
2010-10-29,36100.95,71,22499
2010-10-31,29947.64,82,16347
2010-11-01,20730.239999999998,52,12325
2010-11-02,42866.909999999996,86,23626
2010-11-03,42870.87,86,23025
2010-11-04,83876.12,126,58902
2010-11-05,40907.93,65,19838
2010-11-07,31345.79,81,18341
2010-11-08,32303.99,76,18193
2010-11-09,53013.21,113,32781
2010-11-10,73575.93,127,33426
2010-11-11,59712.61,119,33217
2010-11-12,36167.25,99,20025
2010-11-14,27934.71,86,16462
2010-11-15,42964.04,98,21740
2010-11-16,63788.84,106,37378
2010-11-17,45726.74,113,27327
2010-11-18,37074.97,96,19353
2010-11-19,39999.42,100,23892
2010-11-21,32056.05,96,17985
2010-11-22,31724.88,89,16898
2010-11-23,49805.35,128,24919
2010-11-24,41138.6,117,24336
2010-11-25,67870.96,146,36908
2010-11-26,28828.04,78,14797
2010-11-28,27125.16,90,16290
2010-11-29,63245.18,98,36434
2010-11-30,49806.229999999996,116,24650
2010-12-01,46192.49,121,24114
2010-12-02,47197.57,137,31077
2010-12-03,23876.63,57,11798
2010-12-05,31361.28,87,16241
2010-12-06,31009.329999999998,94,16115
2010-12-07,53730.96,71,19404
2010-12-08,39094.2,111,21497
2010-12-09,38193.91,98,17383
2010-12-10,33488.38,72,15927
2010-12-12,17102.35,43,10533
2010-12-13,27578.34,64,15309
2010-12-14,29235.13,81,17707
2010-12-15,30251.47,70,18388
2010-12-16,48791.87,113,29711
2010-12-17,19966.36,55,11395
2010-12-19,7292.95,18,3674
2010-12-20,19599.06,50,13419
2010-12-21,15929.16,27,11062
2010-12-22,4886.5199999999995,14,3074
2010-12-23,5644.77,17,3220
2011-01-04,12105.11,35,6950
2011-01-05,28799.43,48,18369
2011-01-06,34343.79,46,21534
2011-01-07,23797.79,47,15122
2011-01-09,15590.68,48,8125
2011-01-10,15330.83,34,9380
2011-01-11,60243.73,53,26072
2011-01-12,17124.74,42,7883
2011-01-13,15159.46,41,8309
2011-01-14,39509.7,38,21098
2011-01-16,6976.39,25,4086
2011-01-17,16527.05,46,8692
2011-01-18,87559.21,32,80605
2011-01-19,21586.78,33,15869
2011-01-20,15197.08,34,8171
2011-01-21,24276.01,34,12694
2011-01-23,10306.1,27,5200
2011-01-24,17601.87,44,9587
2011-01-25,23994.38,59,14443
2011-01-26,17424.45,53,10418
2011-01-27,22050.49,50,10902
2011-01-28,17247.2,37,9164
2011-01-30,6542.61,24,3383
2011-01-31,18806.43,57,12417
2011-02-01,26358.7,58,14995
2011-02-02,17091.15,56,8908
2011-02-03,22171.9,45,15427
2011-02-04,18087.96,45,11254
2011-02-06,3439.67,11,2036
2011-02-07,23382.97,38,8567
2011-02-08,14153.34,38,8664
2011-02-09,11910.83,23,6144
2011-02-10,14155.36,40,11767
2011-02-11,18579.96,38,9575
2011-02-13,5645.48,20,2723
2011-02-14,22999.39,36,12339
2011-02-15,37750.62,53,22082
2011-02-16,23413.97,62,15729
2011-02-17,17659.64,55,12747
2011-02-18,14438.73,35,8610
2011-02-20,9437.8,26,5218
2011-02-21,32724.38,33,20376
2011-02-22,29116.63,50,20921
2011-02-23,19315.97,53,12139
2011-02-24,21463.94,53,11558
2011-02-25,18377.14,45,10038
2011-02-27,9382.71,33,4823
2011-02-28,15026.68,51,8387
2011-03-01,23621.59,56,11566
2011-03-02,18666.14,42,8608
2011-03-03,32818.19,47,19119
2011-03-04,17302.55,45,12930
2011-03-06,9951.67,26,5026
2011-03-07,20247.85,58,11088
2011-03-08,22184.11,44,13811
2011-03-09,20320.23,51,11457
2011-03-10,24429.77,52,15222
2011-03-11,20894.75,48,9249
2011-03-13,4117.22,16,2733
2011-03-14,25866.33,48,16729
2011-03-15,14896.28,41,7918
2011-03-16,21715.11,50,12843
2011-03-17,31976.51,56,19025
2011-03-18,23334.6,52,13214
2011-03-20,19880.99,57,13473
2011-03-21,16020.1,48,9443
2011-03-22,19016.94,41,13484
2011-03-23,21566.02,59,13918
2011-03-24,36496.79,68,18164
2011-03-25,27271.1,52,13325
2011-03-27,9189.77,31,4495
2011-03-28,19961.67,58,11574
2011-03-29,37190.52,50,24183
2011-03-30,29523.85,66,20055
2011-03-31,25621.11,59,14930
2011-04-01,24487.9,68,18279
2011-04-03,6872.53,19,5646
2011-04-04,28998.01,54,12861
2011-04-05,28667.42,46,15175
2011-04-06,12698.32,37,8011
2011-04-07,16780.32,61,10063
2011-04-08,22673.91,65,12272
2011-04-10,9879.75,32,5603
2011-04-11,20179.7,59,13127
2011-04-12,23988.6,60,14577
2011-04-13,24450.27,60,18752
2011-04-14,35682.73,82,18507
2011-04-15,17999.18,41,11088
2011-04-17,12630.34,42,8136
2011-04-18,43671.37,62,26219
2011-04-19,18811.19,53,12902
2011-04-20,25715.8,62,17851
2011-04-21,27771.04,71,17075
2011-04-26,21536.86,59,14458
2011-04-27,23566.91,61,17658
2011-04-28,21312.18,55,13106
2011-05-01,6958.11,18,3814
2011-05-03,28877.21,59,11134
2011-05-04,27509.81,62,17359
2011-05-05,25191.79,82,16188
2011-05-06,30783.33,77,18285
2011-05-08,18731.98,63,10621
2011-05-09,21608.16,63,11679
2011-05-10,29807.25,70,16381
2011-05-11,31848.3,73,18422
2011-05-12,59827.74,84,37090
2011-05-13,25815.72,67,13265
2011-05-15,9667.15,30,4768
2011-05-16,35706.7,64,15135
2011-05-17,46361.09,72,25164
2011-05-18,32775.69,71,18591
2011-05-19,31521.87,92,17160
2011-05-20,25351.44,69,15063
2011-05-22,24102.0,61,12645
2011-05-23,31232.53,64,17479
2011-05-24,32460.829999999998,62,14577
2011-05-25,21870.71,60,12435
2011-05-26,32764.38,61,16146
2011-05-27,21109.22,56,14828
2011-05-29,7338.94,24,4067
2011-05-31,18133.2,51,10568
2011-06-01,15380.39,37,9555
2011-06-02,28078.91,42,13703
2011-06-03,15024.11,41,7237
2011-06-05,25423.76,67,13397
2011-06-06,16269.03,56,9139
2011-06-07,33807.85,71,17659
2011-06-08,30122.23,82,18809
2011-06-09,42862.8,82,27153
2011-06-10,58245.12,44,9833
2011-06-12,12397.09,38,9454
2011-06-13,19696.66,52,10653
2011-06-14,33324.49,52,12960
2011-06-15,44954.18,50,29446
2011-06-16,32252.1,81,19616
2011-06-17,19053.53,46,11345
2011-06-19,22421.48,60,15069
2011-06-20,26110.99,59,14865
2011-06-21,19827.91,48,13122
2011-06-22,21143.75,57,15269
2011-06-23,22469.62,69,13972
2011-06-24,16016.039999999999,45,9063
2011-06-26,7032.36,26,3760
2011-06-27,13381.75,35,9151
2011-06-28,30470.88,49,20821
