StockCode,Description,total_units_sold,transaction_count,demand_std,total_revenue,avg_price,unique_customers,avg_daily_demand,safety_stock,reorder_point,eoq,current_stock,stock_status,recommended_action
37410,BLACK AND WHITE PAISLEY FLOWER MUG,25685,18,4642.215171942634,3019.57,1.045,13,34.8,20266,20510,1351,9051,Critical Risk,"Order 31,725 units immediately"
21091,SET/6 WOODLAND PAPER PLATES,13668,35,2187.6737896871264,1817.16,0.8165714285714285,31,18.52,9551,9681,1007,4422,Critical Risk,"Order 14,810 units immediately"
20991,JAZZ HEARTS MAGNETIC MEMO PAD,7058,16,1687.5246516717914,850.9,0.609375,12,9.56,7367,7434,724,4961,Critical Risk,"Order 9,840 units immediately"
37352,BIRD IN TREE MUG ,4643,8,1627.409943744968,504.55,1.10625,6,6.29,7105,7150,558,6987,Critical Risk,"Order 7,268 units immediately"
85160A,WHITE BIRD GARDEN DESIGN MUG,8800,22,1268.7954542643604,1323.2,1.1481818181818182,20,11.92,5539,5623,754,1843,Critical Risk,"Order 9,319 units immediately"
21096,SET/6 FRUIT SALAD  PAPER PLATES,15776,101,979.420185822224,2572.34,0.5442574257425743,91,21.38,4276,4426,1082,2418,Critical Risk,"Order 6,284 units immediately"
21392,RED POLKADOT PUDDING BOWL,3708,14,973.7400424803689,571.17,1.592857142857143,12,5.02,4251,4287,416,3223,Critical Risk,"Order 5,315 units immediately"
16046,TEATIME PEN CASE & PENS,9949,48,927.7843829569806,1043.53,0.7491666666666666,44,13.48,4051,4146,860,2653,Critical Risk,"Order 5,544 units immediately"
16053,POPART COL BALLPOINT PEN ASST,4298,8,902.8291643494908,182.58,0.1649999999999999,8,5.82,3942,3983,565,3396,Critical Risk,"Order 4,529 units immediately"
20759,CHRYSANTHEMUM POCKET BOOK ,5734,44,795.2099261443345,863.5,0.8281818181818181,35,7.77,3472,3527,653,1849,Critical Risk,"Order 5,150 units immediately"
85184D,S/4 BLUE ROUND DECOUPAGE BOXES,8294,52,763.1472630482529,4445.139999999999,2.829615384615385,48,11.24,3332,3411,467,3040,Critical Risk,"Order 3,703 units immediately"
21980,PACK OF 12 RED SPOTTY TISSUES ,22641,226,714.631589816885,5922.51,0.2890265486725663,186,30.68,3120,3335,1297,2134,Critical Risk,"Order 4,321 units immediately"
17003,BROCADE RING PURSE ,70082,393,607.1655086329856,14640.96,0.2653689567430025,215,94.96,2651,3316,2281,3143,Reorder Triggered,"Order 2,824 units immediately"
