StockCode,Description,TotalRevenue,QuantitySold,AvgPrice
22423,REGENCY CAKESTAND 3 TIER,277656.25,24124,12.461649175412294
85123A,WHITE HANGING HEART T-LIGHT HOLDER,247048.00999999998,91757,2.870665869218501
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,2.08
M,Manual,151777.67,9384,214.78588839941264
85099B,JUMBO BAG RED RETROSPOT,134307.44,74224,1.9738697463082164
POST,POSTAGE,124648.04,5235,29.938874098724348
84879,ASSORTED COLOUR BIRD ORNAMENT,124351.86,78234,1.6761515601783061
47566,PARTY BUNTING,103283.38,23460,4.77291229742612
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,77916,1.2203030303030302
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,76598.18,28380,2.9196085204375364
79321,CHILLI LIGHTS,69084.3,14843,5.146038961038961
85099F,JUMBO BAG STRAWBERRY,64127.77,35842,1.9569180327868854
21137,BLACK RECORD COVER FRAME,63092.12,18417,3.6303696857670977
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,55880.17,28606,2.5669636363636363
82484,WOOD BLACK BOARD ANT WHITE FINISH,54525.36,9678,6.962461832061068
21621,VINTAGE UNION JACK BUNTING,54432.62,6497,8.499444933920705
15056N,EDWARDIAN PARASOL NATURAL,54332.61,10948,5.787598152424943
85099C,JUMBO  BAG BAROQUE BLACK WHITE,52188.18,28899,1.9575478142076501
23084,RABBIT NIGHT LIGHT,51251.24,27153,2.0127703523693805
22470,HEART OF WICKER LARGE,49859.5,17104,2.944598990465508
21733,RED HANGING HEART T-LIGHT HOLDER,48850.6,17228,2.9157650602409637
21931,JUMBO STORAGE BAG SUKI,47760.99,25970,1.9728645833333334
22189,CREAM HEART CARD HOLDER,47414.200000000004,15946,3.8781657848324516
15056BL,EDWARDIAN PARASOL BLACK,45885.07,9351,5.794080100125157
22178,VICTORIAN GLASS HANGING T-LIGHT,45746.75,37285,1.3451874573960465
22112,CHOCOLATE HOT WATER BOTTLE,45601.34,9904,4.878344733242134
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,45059.13,24295,1.980715552927262
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,44998.27,16469,2.9220930232558144
21623,VINTAGE UNION JACK MEMOBOARD,44785.83,6125,9.774549098196394
21181,PLEASE ONE PERSON METAL SIGN,44310.6,22379,2.0730530035335692
22386,JUMBO BAG PINK POLKADOT,43319.16,23572,2.0029119850187267
22469,HEART OF WICKER SMALL,43316.54,26193,1.6381823174080175
21929,JUMBO BAG PINK VINTAGE PAISLEY,43313.9,24108,1.9750485436893204
22138,BAKING SET 9 PIECE RETROSPOT ,43070.909999999996,9035,4.9517741015402175
21843,RED RETROSPOT CAKE STAND,42862.74,4298,10.869421319796954
22111,SCOTTIE DOG HOT WATER BOTTLE,42463.2,9092,4.893550577053632
21754,HOME BUILDING BLOCK WORD,42453.11,7231,5.963963282937365
21731,RED TOADSTOOL LED NIGHT LIGHT,41824.26,27102,1.6490377358490567
21175,GIN + TONIC DIET METAL SIGN,40940.78,19755,2.259413027916965
22457,NATURAL SLATE HEART CHALKBOARD ,40276.17,14187,2.9584354154032746
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,40219.82,14630,2.9324567474048444
48138,DOORMAT UNION FLAG,40053.72,6146,7.668266818700114
82494L,WOODEN FRAME ANTIQUE WHITE ,39909.17,14368,2.8997430167597766
20727,LUNCH BAG  BLACK SKULL.,39904.0,25392,1.6399951100244499
21915,RED  HARMONICA IN BOX ,39870.65,35229,1.2519775280898877
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,39822.34,13874,3.192735562310031
21232,STRAWBERRY CERAMIC TRINKET BOX,39682.67,33899,1.2356750941366326
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,61,649.5
21166,COOK WITH WINE METAL SIGN ,37029.34,19652,1.977408906882591
82482,WOODEN PICTURE FRAME WHITE FINISH,37011.1,15643,2.564078947368421
