CustomerID,first_purchase,last_purchase,total_items_bought,total_orders,total_quantity,avg_quantity_per_line,total_spend,avg_order_value,unique_products_bought,weekend_purchase_ratio,is_churned,days_as_customer,purchase_frequency_days,R_Score,F_Score,M_Score,RFM_Segment
12346,2009-12-14 08:34:00,2011-01-18 10:01:00,34,12,74285,2184.8529411764707,77556.46,2281.0723529411766,27,0.25,1,401,33.4,2,5,5,At Risk
12347,2010-10-31 14:20:00,2011-12-07 15:52:00,222,8,2967,13.364864864864865,4921.53,22.169054054054055,126,0.25,0,403,50.4,5,4,5,Champions
12348,2010-09-27 14:59:00,2011-09-25 13:13:00,51,5,2714,53.21568627450981,2019.4,39.596078431372554,25,0.25,0,363,72.6,3,4,4,Loyal Customers
12349,2010-04-29 13:20:00,2011-11-21 09:51:00,175,4,1624,9.28,4428.69,25.3068,138,0.25,0,571,142.8,5,3,5,Loyal Customers
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,17,1,197,11.588235294117647,334.4,19.670588235294115,17,0.25,1,1,1.0,2,1,2,Lost / Inactive
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,21,1,261,12.428571428571429,300.93,14.33,21,0.25,1,1,1.0,2,1,2,Lost / Inactive
12352,2010-11-12 10:20:00,2011-11-03 14:37:00,103,10,724,7.029126213592233,2849.84,27.668349514563108,70,0.25,0,357,35.7,4,5,4,Champions
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,24,2,212,8.833333333333334,406.76,16.948333333333334,23,0.25,1,205,102.5,2,2,2,Lost / Inactive
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,58,1,530,9.137931034482758,1079.4,18.610344827586207,58,0.25,1,1,1.0,2,1,3,Lost / Inactive
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,35,2,543,15.514285714285714,947.61,27.074571428571428,35,0.25,1,354,177.0,2,2,3,Lost / Inactive
12356,2010-10-11 09:42:00,2011-11-17 08:40:00,142,6,3416,24.056338028169016,6371.73,44.87133802816901,104,0.25,0,402,67.0,4,4,5,Champions
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,296,3,6587,22.25337837837838,18287.66,61.78263513513514,261,0.25,0,356,118.7,4,3,5,Loyal Customers
12358,2009-12-08 07:59:00,2011-12-08 10:26:00,77,5,1079,14.012987012987013,3887.07,50.48142857142857,56,0.25,0,731,146.2,5,4,5,Champions
12359,2009-12-05 13:32:00,2011-10-13 12:47:00,362,10,2739,7.566298342541437,8873.39,24.5121270718232,305,0.25,0,677,67.7,4,5,5,Champions
12360,2010-02-22 09:32:00,2011-10-18 15:22:00,217,8,2459,11.331797235023041,4252.89,19.59857142857143,160,0.25,0,604,75.5,4,4,5,Champions
12361,2010-01-26 14:37:00,2011-02-25 13:51:00,29,4,235,8.10344827586207,511.25,17.629310344827587,18,0.25,1,395,98.8,2,3,2,At Risk
12362,2009-12-01 10:10:00,2011-12-06 15:40:00,267,11,2230,8.352059925093632,5356.23,20.06078651685393,201,0.25,0,736,66.9,5,5,5,Champions
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,23,2,408,17.73913043478261,552.0,24.0,23,0.25,1,133,66.5,3,2,2,Needs Attention
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,85,4,1506,17.71764705882353,1313.1,15.448235294117646,70,0.25,0,105,26.2,5,3,4,Loyal Customers
12365,2011-02-21 13:51:00,2011-02-21 14:04:00,22,2,174,7.909090909090909,641.38,29.153636363636362,22,0.25,1,1,0.5,2,2,3,Lost / Inactive
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,3,1,296,98.66666666666667,500.24,166.74666666666667,3,0.25,1,1,1.0,1,1,2,Lost / Inactive
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,11,1,173,15.727272727272727,168.9,15.354545454545455,11,0.25,0,1,1.0,5,1,1,Promising / New
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,18,1,330,18.333333333333332,917.7,50.983333333333334,18,0.25,1,1,1.0,1,1,3,Lost / Inactive
12369,2010-03-08 08:09:00,2010-10-22 13:13:00,93,3,1241,13.344086021505376,1791.1499999999999,19.259677419354837,90,0.25,1,229,76.3,1,3,4,At Risk
12370,2010-02-09 09:41:00,2011-10-19 14:51:00,201,7,2604,12.955223880597014,4316.5599999999995,21.475422885572137,168,0.25,0,618,88.3,4,4,5,Champions
12371,2010-03-04 18:23:00,2011-10-26 10:16:00,167,5,1436,8.598802395209582,4067.38,24.35556886227545,134,0.25,0,601,120.2,4,4,5,Champions
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,52,3,794,15.26923076923077,1298.04,24.962307692307693,34,0.25,0,225,75.0,3,3,4,Loyal Customers
12373,2010-02-04 12:08:00,2011-02-01 13:10:00,51,3,516,10.117647058823529,1127.65,22.110784313725492,36,0.25,1,363,121.0,2,3,3,At Risk
12374,2010-04-30 14:01:00,2011-11-14 15:37:00,83,4,1362,16.40963855421687,2989.22,36.01469879518072,79,0.25,0,564,141.0,4,3,5,Loyal Customers
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,17,2,178,10.470588235294118,457.5,26.91176470588235,14,0.25,0,88,44.0,5,2,2,Promising / New
12376,2010-10-18 08:42:00,2010-11-15 12:15:00,13,2,240,18.46153846153846,503.15,38.70384615384615,11,0.25,1,29,14.5,2,2,2,Lost / Inactive
12377,2010-04-29 15:34:00,2011-01-28 15:45:00,152,4,2105,13.848684210526315,3426.32,22.54157894736842,129,0.25,1,275,68.8,2,3,5,At Risk
12378,2010-05-26 14:07:00,2011-08-02 10:34:00,301,2,3316,11.016611295681063,5416.32,17.994418604651162,281,0.25,1,433,216.5,3,2,5,Needs Attention
12379,2010-06-23 12:49:00,2011-09-19 10:09:00,81,4,815,10.061728395061728,1620.22,20.002716049382716,58,0.25,0,453,113.2,3,3,4,Loyal Customers
12380,2010-02-15 12:05:00,2011-11-18 11:27:00,277,11,3355,12.111913357400722,9676.3,34.93249097472924,156,0.25,0,641,58.3,4,5,5,Champions
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,87,5,808,9.28735632183908,1845.31,21.21045977011494,70,0.25,0,116,23.2,5,4,4,Champions
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,99,5,1532,15.474747474747474,1850.56,18.69252525252525,84,0.25,1,168,33.6,3,4,4,Loyal Customers
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,27,2,126,4.666666666666667,585.27,21.676666666666666,26,0.25,0,93,46.5,4,2,2,Promising / New
12385,2010-11-25 15:14:00,2010-11-25 15:14:00,65,1,612,9.415384615384616,1938.4,29.821538461538463,65,0.25,1,1,1.0,2,1,4,Lost / Inactive
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,10,2,354,35.4,401.9,40.19,10,0.25,1,30,15.0,2,2,2,Lost / Inactive
12387,2010-10-20 16:27:00,2010-10-20 16:27:00,9,1,134,14.88888888888889,143.94,15.993333333333332,9,0.25,1,1,1.0,1,1,1,Lost / Inactive
12388,2010-05-06 12:54:00,2011-11-24 12:30:00,146,8,2001,13.705479452054794,3901.11,26.719931506849317,83,0.25,0,567,70.9,5,4,5,Champions
12389,2010-02-22 10:15:00,2010-11-02 11:52:00,49,3,614,12.53061224489796,1433.33,29.251632653061222,41,0.25,1,254,84.7,2,3,4,At Risk
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,32,1,353,11.03125,549.84,17.1825,32,0.25,0,1,1.0,3,1,2,Needs Attention
12391,2010-02-15 10:12:00,2011-11-18 12:07:00,267,6,1204,4.50936329588015,2724.84,10.205393258426966,241,0.25,0,642,107.0,4,4,4,Champions
12392,2010-04-27 14:04:00,2010-04-27 14:04:00,7,1,73,10.428571428571429,234.75,33.535714285714285,7,0.25,1,1,1.0,1,1,1,Lost / Inactive
12393,2010-10-07 13:49:00,2011-09-28 15:41:00,107,6,1311,12.25233644859813,2399.45,22.424766355140186,63,0.25,0,357,59.5,3,4,4,Loyal Customers
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,27,2,819,30.333333333333332,1272.48,47.12888888888889,26,0.25,0,154,77.0,3,2,4,Needs Attention
12395,2010-04-16 10:16:00,2011-11-20 15:21:00,242,15,3205,13.243801652892563,4721.17,19.50896694214876,145,0.25,0,584,38.9,5,5,5,Champions
12396,2010-02-03 13:22:00,2010-02-03 13:22:00,65,1,591,9.092307692307692,931.43,14.329692307692307,65,0.25,1,1,1.0,1,1,3,Lost / Inactive
