CustomerID,first_purchase,last_purchase,total_items_bought,total_orders,total_quantity,avg_quantity_per_line,total_spend,avg_order_value,unique_products_bought,weekend_purchase_ratio,is_churned,days_as_customer,recency_days,purchase_frequency_days,recency_frequency_ratio,R_Score,F_Score,M_Score,RFM_Segment,churn_risk_probability,churn_risk_category
12346,2009-12-14 08:34:00,2011-01-18 10:01:00,34,12,74285,2184.8529411764707,77556.46,2281.0723529411766,27,0.0,1,401,326,33.4,25.08,2,5,5,At Risk,0.4078,Medium Risk
12347,2010-10-31 14:20:00,2011-12-07 15:52:00,222,8,2967,13.364864864864863,4921.53,22.16905405405405,126,0.1801801801801801,0,403,2,50.4,0.22,5,4,5,Champions,0.3099,Low Risk
12348,2010-09-27 14:59:00,2011-09-25 13:13:00,51,5,2714,53.21568627450981,2019.4,39.59607843137256,25,0.0588235294117647,0,363,75,72.6,12.5,3,4,4,Loyal Customers,0.5258,Medium Risk
12349,2010-04-29 13:20:00,2011-11-21 09:51:00,175,4,1624,9.28,4428.69,25.3068,138,0.0,0,571,19,142.8,3.8,5,3,5,Loyal Customers,0.2212,Low Risk
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,17,1,197,11.588235294117649,334.4,19.670588235294115,17,0.0,1,1,310,1.0,155.0,2,1,2,Lost / Inactive,0.7302,High Risk
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,21,1,261,12.428571428571429,300.93,14.33,21,0.0,1,1,375,1.0,187.5,2,1,2,Lost / Inactive,0.7065,High Risk
12352,2010-11-12 10:20:00,2011-11-03 14:37:00,103,10,724,7.029126213592233,2849.84,27.668349514563108,70,0.0,0,357,36,35.7,3.27,4,5,4,Champions,0.3976,Medium Risk
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,24,2,212,8.833333333333334,406.76,16.948333333333334,23,0.0,1,205,204,102.5,68.0,2,2,2,Lost / Inactive,0.7165,High Risk
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,58,1,530,9.137931034482758,1079.4,18.610344827586207,58,0.0,1,1,232,1.0,116.0,2,1,3,Lost / Inactive,0.6786,Medium Risk
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,35,2,543,15.514285714285714,947.61,27.074571428571428,35,0.0,1,354,214,177.0,71.33,2,2,3,Lost / Inactive,0.5014,Medium Risk
12356,2010-10-11 09:42:00,2011-11-17 08:40:00,142,6,3416,24.056338028169016,6371.73,44.87133802816901,104,0.0,0,402,23,67.0,3.29,4,4,5,Champions,0.3403,Low Risk
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,296,3,6587,22.25337837837838,18287.66,61.78263513513514,261,0.4425675675675675,0,356,33,118.7,8.25,4,3,5,Loyal Customers,0.3376,Low Risk
