StockCode,Description,total_units_sold,transaction_count,demand_std,total_revenue,avg_price,unique_customers,avg_daily_demand,safety_stock,reorder_point,eoq,current_stock,stock_status,recommended_action
22423,REGENCY CAKESTAND 3 TIER,24124,3335,17.12975848863674,277656.25,12.461649175412294,1314,32.69,75,304,379,342,Optimal,Maintain current stock levels
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91757,5016,60.00355387362928,247048.01,2.870665869218501,1490,124.33,262,1133,1540,2710,Overstocked,Overstock alert: Pause purchase orders (Excess: 444 units)
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,1,1.0,168469.6,2.08,1,109.75,5,774,1700,1479,Optimal,Maintain current stock levels
M,Manual,9384,681,91.35513250941288,151777.67,214.78588839941264,438,12.72,399,489,57,791,Optimal,Maintain current stock levels
85099B,JUMBO BAG RED RETROSPOT,74224,2641,62.452082104881896,134307.44,1.9738697463082164,860,100.57,273,977,1671,629,Reorder Triggered,"Order 1,671 units immediately"
POST,POSTAGE,5235,1803,2.264821449216398,124648.04,29.938874098724348,405,7.09,10,60,114,39,Reorder Triggered,Order 114 units immediately
84879,ASSORTED COLOUR BIRD ORNAMENT,78234,2692,98.83194404535725,124351.86,1.676151560178306,1010,106.01,432,1175,1861,503,Reorder Triggered,"Order 1,861 units immediately"
47566,PARTY BUNTING,23460,2098,20.064208402450543,103283.38,4.77291229742612,894,31.79,88,311,604,686,Overstocked,Overstock alert: Pause purchase orders (Excess: 64 units)
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,198,5272.997868874024,81416.73000000001,1.2203030303030302,138,105.58,23020,23760,2177,38550,Optimal,Maintain current stock levels
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,28380,1737,48.42144663137917,76598.18,2.9196085204375364,896,38.46,212,482,850,896,Optimal,Maintain current stock levels
79321,CHILLI LIGHTS,14843,924,36.93332742429976,69084.3,5.146038961038961,304,20.11,162,303,463,105,Critical Risk,Order 463 units immediately
85099F,JUMBO BAG STRAWBERRY,35842,1525,53.46994419514417,64127.77,1.9569180327868851,549,48.57,234,574,1166,1398,Overstocked,Overstock alert: Pause purchase orders (Excess: 250 units)
21137,BLACK RECORD COVER FRAME,18417,541,79.73021665895311,63092.12,3.6303696857670977,198,24.96,349,524,614,1117,Overstocked,Overstock alert: Pause purchase orders (Excess: 69 units)
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,28606,550,432.5201700647418,55880.17,2.5669636363636363,300,38.76,1889,2161,910,1658,Critical Risk,"Order 2,392 units immediately"
