StockCode,Description,total_units_sold,transaction_count,demand_std,total_revenue,avg_price,unique_customers,avg_daily_demand
22423,REGENCY CAKESTAND 3 TIER,24124,3335,17.12975848863674,277656.25,12.461649175412294,1314,32.69
85123A,WHITE HANGING HEART T-LIGHT HOLDER,91757,5016,60.00355387362928,247048.00999999998,2.870665869218501,1490,124.33
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,1,1.0,168469.6,2.08,1,109.75
M,Manual,9384,681,91.35513250941287,151777.67,214.78588839941264,438,12.72
85099B,JUMBO BAG RED RETROSPOT,74224,2641,62.452082104881896,134307.44,1.9738697463082164,860,100.57
POST,POSTAGE,5235,1803,2.264821449216398,124648.04,29.938874098724348,405,7.09
84879,ASSORTED COLOUR BIRD ORNAMENT,78234,2692,98.83194404535723,124351.86,1.6761515601783061,1010,106.01
47566,PARTY BUNTING,23460,2098,20.064208402450546,103283.38,4.77291229742612,894,31.79
23166,MEDIUM CERAMIC TOP STORAGE JAR,77916,198,5272.997868874024,81416.73000000001,1.2203030303030302,138,105.58
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,28380,1737,48.42144663137917,76598.18,2.9196085204375364,896,38.46
79321,CHILLI LIGHTS,14843,924,36.93332742429976,69084.3,5.146038961038961,304,20.11
85099F,JUMBO BAG STRAWBERRY,35842,1525,53.46994419514417,64127.77,1.9569180327868854,549,48.57
21137,BLACK RECORD COVER FRAME,18417,541,79.73021665895311,63092.12,3.6303696857670977,198,24.96
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,28606,550,432.5201700647418,55880.17,2.5669636363636363,300,38.76
82484,WOOD BLACK BOARD ANT WHITE FINISH,9678,1048,36.909738579808305,54525.36,6.962461832061068,451,13.11
21621,VINTAGE UNION JACK BUNTING,6497,1135,17.228741308427,54432.62,8.499444933920705,583,8.8
15056N,EDWARDIAN PARASOL NATURAL,10948,866,40.463771422280416,54332.61,5.787598152424943,347,14.83
85099C,JUMBO  BAG BAROQUE BLACK WHITE,28899,1464,38.90505686013245,52188.18,1.9575478142076501,506,39.16
23084,RABBIT NIGHT LIGHT,27153,823,137.87615637471086,51251.24,2.0127703523693805,450,36.79
22470,HEART OF WICKER LARGE,17104,1783,42.85319593516248,49859.5,2.944598990465508,827,23.18
21733,RED HANGING HEART T-LIGHT HOLDER,17228,1660,30.694398898421976,48850.6,2.9157650602409637,744,23.34
21931,JUMBO STORAGE BAG SUKI,25970,1728,26.396014785367857,47760.99,1.9728645833333334,546,35.19
22189,CREAM HEART CARD HOLDER,15946,1134,64.37889606553047,47414.200000000004,3.8781657848324516,536,21.61
15056BL,EDWARDIAN PARASOL BLACK,9351,799,43.630521795820414,45885.07,5.794080100125157,321,12.67
22178,VICTORIAN GLASS HANGING T-LIGHT,37285,1467,58.910285995850835,45746.75,1.3451874573960465,593,50.52
22112,CHOCOLATE HOT WATER BOTTLE,9904,1462,10.833804959856472,45601.34,4.878344733242134,631,13.42
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,24295,1691,28.554017582821732,45059.13,1.980715552927262,658,32.92
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,16469,1247,23.46372188153947,44998.27,2.9220930232558144,701,22.32
21623,VINTAGE UNION JACK MEMOBOARD,6125,499,56.61146709256514,44785.83,9.774549098196394,311,8.3
21181,PLEASE ONE PERSON METAL SIGN,22379,1415,31.99273761683441,44310.6,2.0730530035335692,562,30.32
