Date,Revenue,TotalQuantity,Transactions,UniqueCustomers,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_mean_30,rolling_std_30,day_of_week,day_of_month,month,quarter,is_weekend,sin_dow,cos_dow,sin_month,cos_month
2009-12-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29758.87,38598.21,43894.87,0.0,0.0,7743.477142857142,22783.467,20082.306003648766,3,31,12,4,0,0.43388373911755823,-0.900968867902419,-2.4492935982947064e-16,1.0
2010-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31562.72,39204.17,52762.06,0.0,0.0,5617.8435714285715,21320.304666666667,20090.176987087536,4,1,1,1,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2010-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67413.62,0.0,0.0,3363.3635714285715,19561.569333333333,19544.836202469392,5,2,1,1,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
2010-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11355.19,21577.35,33913.81,0.0,0.0,3363.363571428571,17314.448666666667,17635.551619033395,6,3,1,1,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
2010-01-04,13415.09,10593.0,26.0,22.0,0.0,0.0,0.0,0.0,15549.64,51245.16,9803.05,0.0,0.0,2552.2785714285715,16183.988333333335,17621.774212329216,0,4,1,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387
2010-01-05,19051.19,11288.0,33.0,31.0,13415.09,0.0,0.0,0.0,10696.59,46836.63,24390.1,1916.4414285714286,5070.427422221354,2399.8107142857148,16304.389666666666,17588.98204779648,1,5,1,1,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2010-01-06,8731.26,7458.0,13.0,13.0,19051.19,13415.09,0.0,0.0,9485.67,36927.3,33002.49,4638.04,8086.331830451101,2996.567857142857,16126.426,17531.265138495422,2,6,1,1,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2010-01-07,72989.38,40592.0,45.0,41.0,8731.26,19051.19,13415.09,0.0,0.0,29758.87,44763.34,5885.362857142857,7923.434751736383,2942.6814285714286,15317.385,17283.900209568714,3,7,1,1,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2010-01-08,30292.7,12694.0,44.0,42.0,72989.38,8731.26,19051.19,0.0,0.0,31562.72,30763.170000000002,16312.417142857144,26089.373005108624,8156.208571428572,16258.253,19560.428694610076,4,8,1,1,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2010-01-09,0.0,0.0,0.0,0.0,30292.7,72989.38,8731.26,0.0,0.0,0.0,38598.21,20639.945714285717,25436.827415401644,10319.972857142859,16242.570666666667,19548.58356112507,5,9,1,1,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
2010-01-10,23157.33,13291.0,31.0,29.0,0.0,30292.7,72989.38,0.0,0.0,11355.19,39204.17,20639.945714285717,25436.827415401644,10319.972857142859,14955.963666666668,19295.034400366523,6,10,1,1,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
2010-01-11,19684.49,9414.0,43.0,37.0,23157.33,0.0,30292.7,13415.09,0.0,15549.64,0.0,23948.135714285716,23755.399915198836,11974.067857142858,14421.069,18816.130051235545,0,11,1,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387
2010-01-12,38833.58,20782.0,36.0,32.0,19684.49,23157.33,0.0,19051.19,0.0,10696.59,21577.35,24843.76428571429,23407.736327185266,13380.102857142858,15077.21866666667,18638.27740210225,1,12,1,1,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2010-01-13,12391.1,6541.0,25.0,25.0,38833.58,19684.49,23157.33,8731.26,0.0,9485.67,51245.16,27669.820000000003,23783.003771393138,16153.930000000002,15652.426333333335,19106.203390223724,2,13,1,1,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2010-01-14,23721.64,11788.0,55.0,47.0,12391.1,38833.58,19684.49,72989.38,0.0,0.0,46836.63,28192.65428571429,23333.253632506166,17039.008571428574,14357.291000000001,17888.38529490099,3,14,1,1,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2010-01-15,13499.55,8414.0,44.0,37.0,23721.64,12391.1,38833.58,30292.7,0.0,0.0,36927.3,21154.405714285716,12470.826515129704,18733.411428571428,13586.791333333334,16912.3592876201,4,15,1,1,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2010-01-16,0.0,0.0,0.0,0.0,13499.55,23721.64,12391.1,0.0,0.0,0.0,29758.87,18755.38428571429,12027.263131969328,19697.665,12805.866333333335,16328.251330762312,5,16,1,1,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
2010-01-17,17363.25,9910.0,39.0,35.0,0.0,13499.55,23721.64,23157.33,0.0,0.0,31562.72,18755.38428571429,12027.263131969328,19697.665,11813.904,16165.95843889925,6,17,1,1,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
2010-01-18,12078.84,8319.0,35.0,32.0,17363.25,0.0,13499.55,19684.49,13415.09,0.0,0.0,17927.658571428572,11872.203905657718,20937.897142857142,11340.588333333335,15770.844806286033,0,18,1,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387
2010-01-19,21892.79,12939.0,45.0,41.0,12078.84,17363.25,0.0,38833.58,19051.19,0.0,11355.19,16841.137142857147,12031.582562676058,20842.450714285715,11743.216333333334,15624.84717034278,1,19,1,1,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2010-01-20,13244.34,8208.0,35.0,31.0,21892.79,12078.84,17363.25,12391.1,8731.26,0.0,15549.64,14421.024285714288,7846.516252985269,21045.42214285714,12094.469666666668,15733.887804458001,2,20,1,1,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2010-01-21,27359.23,72900.0,48.0,47.0,13244.34,21892.79,12078.84,23721.64,72989.38,0.0,10696.59,14542.915714285715,7816.295952582783,21367.785000000003,12017.626333333332,15722.056098173909,3,21,1,1,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2010-01-22,29345.83,16974.0,42.0,39.0,27359.23,13244.34,21892.79,13499.55,30292.7,0.0,9485.67,15062.571428571433,8608.96366621719,18108.488571428574,12573.04766666667,15966.207062606922,4,22,1,1,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2010-01-23,0.0,0.0,0.0,0.0,29345.83,27359.23,13244.34,0.0,0.0,0.0,0.0,17326.32571428572,10086.144684722802,18040.855000000003,13235.052999999998,16243.110014677977,5,23,1,1,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
2010-01-24,15552.32,8700.0,49.0,48.0,0.0,29345.83,27359.23,17363.25,23157.33,0.0,0.0,17326.32571428572,10086.144684722802,18040.855000000003,13235.052999999998,16243.110014677977,6,24,1,1,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
2010-01-25,18346.54,9104.0,45.0,44.0,15552.32,0.0,29345.83,12078.84,19684.49,13415.09,0.0,17067.62142857143,10108.240245185167,17497.640000000003,13753.463666666667,16053.209664431914,0,25,1,1,0,0.0,1.0,0.49999999999999994,0.8660254037844387
2010-01-26,38570.37,22305.0,81.0,68.0,18346.54,15552.32,0.0,21892.79,38833.58,19051.19,0.0,17963.007142857146,9867.411081054846,17402.072142857145,14365.015000000001,15859.490155468371,1,26,1,1,0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2010-01-27,23722.72,16985.0,51.0,47.0,38570.37,18346.54,15552.32,13244.34,12391.1,8731.26,0.0,20345.518571428573,12607.408498748444,17383.27142857143,15650.694,16214.229437968153,2,27,1,1,0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2010-01-28,18914.829999999998,10855.0,53.0,48.0,23722.72,38570.37,18346.54,27359.23,23721.64,72989.38,0.0,21842.43,12240.465949306568,18192.67285714286,16441.451333333334,16001.713612978374,3,28,1,1,0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2010-01-29,25382.44,9471.0,45.0,37.0,18914.829999999998,23722.72,38570.37,29345.83,13499.55,30292.7,0.0,20636.087142857144,12020.281179697533,17849.329285714288,17071.945666666667,15701.373654987943,4,29,1,1,0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2010-01-30,0.0,0.0,0.0,0.0,25382.44,18914.829999999998,23722.72,0.0,0.0,0.0,0.0,20069.888571428575,11628.607948251924,18698.107142857145,17918.027,15431.26951164893,5,30,1,1,1,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387
2010-01-31,18261.86,10557.0,48.0,47.0,0.0,25382.44,18914.829999999998,15552.32,17363.25,23157.33,0.0,20069.888571428575,11628.607948251924,18698.107142857145,17918.027,15431.26951164893,6,31,1,1,1,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387
2010-02-01,16606.93,8581.0,56.0,49.0,18261.86,0.0,25382.44,18346.54,12078.84,19684.49,0.0,20456.965714285714,11497.527831384541,18762.293571428574,18526.755666666668,15055.694644201547,0,1,2,1,0,0.0,1.0,0.8660254037844386,0.5000000000000001
2010-02-02,19532.03,10543.0,41.0,34.0,16606.93,18261.86,0.0,38570.37,21892.79,38833.58,0.0,20208.450000000004,11569.323196027222,19085.72857142857,19080.32,14650.875396097877,1,2,2,1,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
2010-02-03,17230.06,9369.0,44.0,41.0,19532.03,16606.93,18261.86,23722.72,13244.34,12391.1,13415.09,17488.687142857143,8312.77233359549,18917.102857142858,19731.387666666666,14200.807533755129,2,3,2,1,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
2010-02-04,22486.01,12794.0,62.0,52.0,17230.06,19532.03,16606.93,18914.829999999998,27359.23,23721.64,19051.19,16561.164285714287,7850.634103928295,19201.797142857144,19858.553333333333,14159.316409554702,3,4,2,1,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
2010-02-05,19420.74,9889.0,38.0,35.0,22486.01,17230.06,19532.03,25382.44,29345.83,13499.55,8731.26,17071.33285714286,8139.787933838158,18853.71,19973.047333333332,14166.4482457584,4,5,2,1,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
2010-02-06,0.0,0.0,0.0,0.0,19420.74,22486.01,17230.06,0.0,0.0,0.0,72989.38,16219.66142857143,7403.880604951775,18144.775,20329.363333333335,14007.483036207599,5,6,2,1,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
2010-02-07,17023.92,11179.0,29.0,29.0,0.0,19420.74,22486.01,18261.86,15552.32,17363.25,30292.7,16219.66142857143,7403.880604951775,18144.775,17896.384000000002,10426.593741390196,6,7,2,1,1,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001
2010-02-08,13016.04,7043.0,49.0,45.0,17023.92,0.0,19420.74,16606.93,18346.54,12078.84,0.0,16042.812857142859,7361.63497463192,18249.889285714286,17454.091333333334,10160.650456645439,0,8,2,1,0,0.0,1.0,0.8660254037844386,0.5000000000000001
2010-02-09,18398.26,10629.0,51.0,51.0,13016.04,17023.92,0.0,19532.03,38570.37,21892.79,23157.33,15529.828571428574,7440.464508735171,17869.139285714286,17887.959333333336,9654.960250072616,1,9,2,1,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
2010-02-10,6082.34,3066.0,27.0,24.0,18398.26,13016.04,17023.92,17230.06,23722.72,13244.34,19684.49,15367.86142857143,7350.620401622417,16428.274285714288,17729.323666666667,9604.36080335475,2,10,2,1,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
2010-02-11,15061.87,9027.0,54.0,48.0,6082.34,18398.26,13016.04,22486.01,18914.829999999998,27359.23,38833.58,13775.330000000002,8053.878485514502,15168.247142857144,17275.91866666667,9827.356113227217,3,11,2,1,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
2010-02-12,9728.96,7324.0,28.0,27.0,15061.87,6082.34,18398.26,19420.74,25382.44,29345.83,12391.1,12714.738571428576,7154.194711464571,14893.035714285716,16483.528333333332,8948.249093295439,4,12,2,1,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
2010-02-13,0.0,0.0,0.0,0.0,9728.96,15061.87,6082.34,0.0,0.0,0.0,23721.64,11330.198571428573,6552.617457343357,13774.930000000002,16394.790333333334,9003.263170806262,5,13,2,1,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
2010-02-14,17772.19,10892.0,45.0,39.0,0.0,9728.96,15061.87,17023.92,18261.86,15552.32,13499.55,11330.198571428573,6552.617457343357,13774.930000000002,15604.069,9371.73465190809,6,14,2,1,1,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001
2010-02-15,42318.21,96358.0,43.0,35.0,17772.19,0.0,9728.96,13016.04,16606.93,18346.54,0.0,11437.094285714289,6666.103012720042,13739.953571428572,15746.490333333331,9371.115074693153,0,15,2,1,0,0.0,1.0,0.8660254037844386,0.5000000000000001
2010-02-16,25669.01,15744.0,58.0,51.0,42318.21,17772.19,0.0,18398.26,19532.03,38570.37,17363.25,15623.118571428573,13509.94830488189,15576.473571428573,17157.09733333333,10077.503281933075,1,16,2,1,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
2010-02-17,26455.22,24986.0,46.0,42.0,25669.01,42318.21,17772.19,6082.34,17230.06,23722.72,12078.84,16661.797142857144,14028.416230555891,16014.829285714286,17433.956,10196.748528765429,2,17,2,1,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
2010-02-18,35737.24,19851.0,62.0,58.0,26455.22,25669.01,42318.21,15061.87,22486.01,18914.829999999998,21892.79,19572.208571428575,13573.697154562615,16673.769285714287,17913.16866666667,10273.926371620582,3,18,2,1,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
2010-02-19,18931.99,10862.0,34.0,30.0,35737.24,26455.22,25669.01,9728.96,19420.74,25382.44,13244.34,22525.83285714286,14636.537265648736,17620.285714285714,18374.650333333335,10758.35601893404,4,19,2,1,0,-0.433883739117558,-0.9009688679024191,0.8660254037844386,0.5000000000000001
2010-02-20,0.0,0.0,0.0,0.0,18931.99,35737.24,26455.22,0.0,0.0,0.0,27359.23,23840.55142857143,13677.388248967029,17585.375,18564.238666666668,10714.857126467203,5,20,2,1,1,-0.9749279121818236,-0.2225209339563146,0.8660254037844386,0.5000000000000001
2010-02-21,11394.73,5555.0,37.0,34.0,0.0,18931.99,35737.24,17772.19,17023.92,18261.86,29345.83,23840.55142857143,13677.388248967029,17585.375,17652.264333333336,11097.94156613853,6,21,2,1,1,-0.7818314824680299,0.6234898018587334,0.8660254037844386,0.5000000000000001
2010-02-22,26336.24,13423.0,46.0,41.0,11394.73,0.0,18931.99,42318.21,13016.04,16606.93,0.0,22929.485714285718,14345.085519274382,17183.29,17053.894333333334,10928.357231158376,0,22,2,1,0,0.0,1.0,0.8660254037844386,0.5000000000000001
2010-02-23,20840.01,11574.0,44.0,42.0,26336.24,11394.73,0.0,25669.01,18398.26,19532.03,15552.32,20646.347142857147,11789.000272239264,18134.73285714286,17931.769000000004,10562.861865034605,1,23,2,1,0,0.7818314824680298,0.6234898018587336,0.8660254037844386,0.5000000000000001
2010-02-24,30392.66,21941.0,59.0,47.0,20840.01,26336.24,11394.73,26455.22,6082.34,17230.06,18346.54,19956.489999999998,11585.6391529629,18309.143571428573,18108.025333333335,10565.904129163484,2,24,2,1,0,0.9749279121818236,-0.22252093395631434,0.8660254037844386,0.5000000000000001
2010-02-25,44604.16,26014.0,66.0,55.0,30392.66,20840.01,26336.24,35737.24,15061.87,22486.01,38570.37,20518.981428571427,12040.401321533316,20045.595,18509.56266666667,10801.548363910426,3,25,2,1,0,0.43388373911755823,-0.900968867902419,0.8660254037844386,0.5000000000000001
